,bnum,condition,base_abundance,halflife_minutes,gene_name
109,b0260,wt_plusrif,2.9262962709666467e-05,20.800104447408803,mmuP
110,b3009,wt_plusrif,2.9978030727868624e-05,43.20729500101229,yghB
111,b1149,wt_plusrif,4.270890831649278e-06,42.105206827460556,ymfN
112,b3749,wt_plusrif,2.2504485672435175e-06,22.91217479221539,rbsA
113,b1583,wt_plusrif,5.7030854583233e-05,29.282630088789602,ynfB
114,b1041,wt_plusrif,1.8070841317761157e-06,20.419521161928273,csgB
115,ERCC-00117,wt_plusrif,3.993000192558269e-07,5040.029062302099,unknown
116,b1742,wt_plusrif,3.865649994125037e-06,7.607835197516379,ves
117,b0339,wt_plusrif,5.261357331325184e-06,11.856600844763316,cynT
118,b3998,wt_plusrif,1.4718160023813531e-05,46.349702021595114,nfi
119,b2775,wt_plusrif,5.056863872765848e-06,19.264536078604294,yqcE
120,ERCC-00157,wt_plusrif,1.398829774966165e-05,81880.73306611988,unknown
121,b1563,wt_plusrif,0.00011730420878034104,27.399619968199634,relE
122,b3938,wt_plusrif,3.470154806318834e-05,9.06806019258187,metJ
123,b0329,wt_plusrif,9.524008344361396e-05,19.365780598632654,yahO
124,b0736,wt_plusrif,2.9223757802472562e-05,33.85467674680795,ybgC
125,b0689,wt_plusrif,1.644332986046707e-06,36.02776923899588,ybfP
126,b2466,wt_plusrif,1.6402560020593243e-05,30.00802603347966,ypfG
127,b0953,wt_plusrif,0.0004953153661186171,95.14797961673132,rmf
128,b2841,wt_plusrif,1.8298707618630348e-05,64.24843052311181,araE
129,b0212,wt_plusrif,8.938752780307497e-06,32.84604760872272,gloB
130,b3833,wt_plusrif,5.7579437276704225e-05,18.986988675173315,ubiE
131,b2566,wt_plusrif,0.0001884828334530194,23.295280430792385,era
132,b0430,wt_plusrif,3.435585920428272e-05,27.643859436976204,cyoC
133,b4683,wt_plusrif,0.0,20.000126002081135,yqeL
134,b0295,wt_plusrif,1.52129445245807e-06,27.70038134199706,ykgL
