bnum,wt_t00,wt_t00.1,wt_t00.2,wt_t10,wt_t10.1,wt_t10.2,wt_t10_riff,wt_t10_riff.1,wt_t10_riff.2,wt_t30,wt_t30.1,wt_t30.2,wt_t30_riff,wt_t30_riff.1,wt_t30_riff.2,wt_t60,wt_t60.1,wt_t60.2,wt_t60_riff,wt_t60_riff.1,wt_t60_riff.2,ppk_delta_t00,ppk_delta_t00.1,ppk_delta_t00.2,ppk_delta_t10,ppk_delta_t10.1,ppk_delta_t10.2,ppk_delta_t10_riff,ppk_delta_t10_riff.1,ppk_delta_t10_riff.2,ppk_delta_t30,ppk_delta_t30.1,ppk_delta_t30.2,ppk_delta_t30_riff,ppk_delta_t30_riff.1,ppk_delta_t30_riff.2,ppk_delta_t60,ppk_delta_t60.1,ppk_delta_t60.2,ppk_delta_t60_riff,ppk_delta_t60_riff.1,ppk_delta_t60_riff.2
b0011,2.3023505109378396e-06,8.53790451276837e-06,8.164317305603486e-06,3.0100574419818703e-06,9.708354202646369e-06,6.440083779070637e-06,2.7916828718451925e-06,1.4830435326242755e-06,8.995525971579346e-06,7.941959103433341e-08,2.9887046175884215e-06,6.055326413881057e-06,1.3642023431440495e-06,1.8016785496957707e-06,5.550399432536834e-06,6.0621204330014855e-06,1.2320612637735113e-06,6.589539518053884e-06,3.5350468413738147e-06,6.17594097098427e-07,2.7484999305362608e-06,1.8402849865560394e-05,2.4775841577928255e-05,2.4755528267650702e-05,4.430595651534271e-05,0.0,3.227773198169619e-05,7.27637162515655e-06,1.5118035680395762e-05,1.2566858730893715e-05,2.4859595624621622e-05,0.00010271465375130998,2.9227990497593037e-05,5.637875035825173e-06,4.7400095369405766e-05,0.0,3.600094964367396e-05,5.0662935071669106e-05,1.962588160782636e-05,4.889826887632666e-07,0.0,1.171848732431557e-06
b0012,1.1908709539333645e-06,2.9554284851890497e-06,5.156410929854829e-06,1.1651835259284685e-06,6.06772137665398e-06,3.680047873754652e-06,5.583365743690385e-07,4.943478442080909e-07,4.272874836500187e-06,3.9709795517166654e-08,2.9887046175884215e-06,2.422130565552423e-06,7.345704924621788e-07,1.286913249782696e-06,2.0183270663770312e-06,2.841618952969445e-06,0.0,3.7654511531736523e-06,1.6160214131994565e-06,6.17594097098427e-07,2.355857083316798e-06,1.290589471091249e-05,1.1929108907891371e-05,1.575351798850499e-05,2.9386603811196642e-05,0.0,1.8828676989322806e-05,4.157926642946607e-06,5.039345226798587e-06,7.540115238536238e-06,1.1726224351236611e-05,5.135732687565494e-05,1.7255078727494687e-05,6.264305595361311e-07,4.7400095369405766e-05,0.0,2.1177029202161086e-05,0.0,1.2675048538387883e-05,4.889826887632666e-07,0.0,1.171848732431557e-06
b0013,2.381741907866733e-07,9.851428283963494e-07,1.5039531878743252e-06,5.340424493838812e-07,2.4270885506615922e-06,4.600059842193319e-06,5.583365743690385e-07,0.0,4.497762985789672e-07,0.0,1.195481847035365e-06,1.2110652827762115e-06,4.1975456712124507e-07,2.573826499565386e-07,5.045817665942573e-07,1.3260888447190711e-06,6.160306318867549e-07,9.413627882934116e-07,2.0200267664993235e-07,0.0,0.0,4.301964903637486e-06,6.423366335018429e-06,7.501675232621421e-06,4.973117568048678e-06,0.0,1.0374985279830938e-05,4.157926642946607e-06,0.0,0.0,5.159538714544124e-06,0.0,4.577878029743495e-06,0.0,0.0,0.0,1.0588514601080543e-05,1.6887645023889677e-05,7.3597056029349065e-06,1.9559307550530662e-06,0.0,3.906162441438529e-07
b0014,0.0008875561219665216,0.0029564136280174165,0.003142832461746431,0.001069395730234425,0.0040338211711994825,0.0030013857117029844,0.0010957355271991943,0.001383679615938445,0.0014435570302891976,3.4587231895445886e-05,0.002759172102957593,0.002256214621811987,0.0005403290665267988,0.0007793546640683824,0.0007624230493238331,0.002214568370680818,0.0025620713980169926,0.00288080547287479,0.00038370408429654014,0.0005246461854850889,0.0003459183484002588,0.014011977687247724,0.013771697422279312,0.014859318300776166,0.017225975052526266,0.0009613629754673416,0.019567222237761084,0.006468694374764013,0.007705158851774733,0.006461878759425178,0.016583695526492824,0.020286144115883507,0.014859792084547168,0.001395896096832988,0.0023226046731004237,0.0012276985810712438,0.012185262602923252,0.027476198453868034,0.014115915346429083,0.0005246784250429155,0.0010159284410434916,0.0005328005570122116
unknown,5.35891929270016e-06,1.8389332796731904e-05,1.9766241897776847e-05,6.3114107654458724e-06,1.3348987028638756e-05,1.7480227400334628e-05,8.375048615535585e-06,2.0762609456739835e-05,1.3718177106658476e-05,1.1912938655150034e-07,1.315030031738905e-05,1.2110652827762114e-05,2.2037114773865365e-06,1.1067453948131195e-05,4.541235899348323e-06,9.66150444009614e-06,1.6632827060942362e-05,1.3179079036107768e-05,3.030040149748982e-06,4.014361631139776e-06,4.319071319414134e-06,5.042858859263956e-05,0.00011195009898174993,3.7508376163107106e-05,7.369256032653915e-05,3.8505860165581245e-06,4.380549340373056e-05,2.3561584310030746e-05,1.0078690453597173e-05,1.3823544603983056e-05,5.300253406758947e-05,0.0,3.732731316560091e-05,1.8792916786083857e-06,0.0,0.0,9.529663140972473e-05,0.0,4.4975978684602234e-05,2.4449134438163333e-06,2.4778742464478965e-05,7.812324882877042e-07
b0015,8.74893194156235e-05,0.00029094551531964614,0.0002915520679921163,9.797251480514008e-05,0.0003968289780331583,0.0002833636862789458,0.00015465923110018117,0.00019180696355273653,0.00018260917722303554,2.620846504133002e-06,0.0002546376334184794,0.00022162494674797103,8.3111404289955e-05,0.00011839601897998948,0.00012412711458216128,0.00020535432966790632,0.00023101148695748463,0.00029417587134164243,7.272096359392417e-05,9.233031751615306e-05,6.400078409677303e-05,0.0010644973155997993,0.0010883017819044135,0.0012122707175912094,0.0013743888551694407,6.674349095362883e-05,0.001481701601445381,0.0005211268059157309,0.0007458230935660658,0.0005818455592402307,0.0011566747700056947,0.0021570077287772905,0.001182148965065243,8.331526441830535e-05,0.00033180066758584,9.556935062232232e-05,0.0007835500804798603,0.0027864614289417606,0.0010953695172368112,4.987623425385317e-05,0.0001982299397158314,5.898305286572178e-05
b0016,1.0439968696149168e-05,4.367466539223818e-05,4.0177035161785516e-05,1.1263440750641823e-05,6.431784659253237e-05,4.017385595515487e-05,1.7587602092624736e-05,3.114391418510975e-05,3.86807616777911e-05,3.9709795517166655e-07,1.9725450476083578e-05,2.9065566786629048e-05,1.1018557386932708e-05,1.5442958997392303e-05,2.0183270663770313e-05,2.3680157941412024e-05,2.8337409066790674e-05,3.3889060378562807e-05,1.4847196733770032e-05,1.5439852427460675e-05,1.5705713888778617e-05,0.00014196484182003727,0.00015140792075400597,0.00017403886539681712,0.000198472601124851,1.4118815394046463e-05,0.00018405992403848208,0.00010048322720454288,0.00014110166635036045,0.00014200550365909886,0.00012711227196740508,0.0003081439612539294,0.0001496613971262296,2.3386740889348867e-05,4.7400095369405766e-05,0.0,0.0001524746102555597,0.00028708996540612497,0.0001353368085873026,1.1735584530318385e-05,7.433622739343698e-05,1.5234033521610245e-05
b4412,2.6199160986534057e-06,8.53790451276837e-06,6.8752145731397664e-06,2.5731136197586954e-06,6.06772137665398e-06,1.1040143621263956e-05,3.3500194462142343e-06,9.886956884161795e-07,2.9235459407632866e-06,1.9854897758583327e-07,2.9887046175884215e-06,7.266391696657269e-06,1.6790182684849794e-06,7.721479498696153e-07,2.5229088329712917e-06,6.6304442235953745e-06,3.6961837913205254e-06,1.0354990671227536e-05,1.818024089849393e-06,1.5439852427460677e-06,1.5705713888778618e-06,2.6528783572431238e-05,1.743485148076434e-05,4.951105653530123e-05,3.255131499086394e-05,1.28352867218604e-06,4.8800856686612065e-05,2.5294053744591844e-05,1.0078690453597173e-05,1.3823544603983056e-05,3.752391792395727e-05,0.0003081439612539294,3.5918735310295004e-05,6.890736154897435e-06,0.0,7.351488509409428e-06,2.7530137962809392e-05,0.00015198880521500723,4.374936108411301e-05,3.4228788213428663e-06,0.0,4.687394929726235e-06
b0018,3.8901784495156445e-06,1.3463618654750177e-05,1.1816775047583987e-05,4.515086162972808e-06,1.8203164129961966e-05,1.9013580681065714e-05,5.3041974565058685e-06,3.9547827536647305e-06,6.071980030816059e-06,2.3825877310299975e-07,7.77063200572989e-06,1.0899587544985902e-05,2.623466044507785e-06,1.0295305998261555e-06,8.577890032102385e-06,1.0229828230690021e-05,5.544275686980793e-06,1.8591915068794856e-05,2.8280374730990518e-06,2.1615793398444947e-06,4.711714166633596e-06,5.138458079344777e-05,3.9457821772256056e-05,6.751507709359275e-05,7.143205234106263e-05,1.28352867218604e-06,7.41619318150879e-05,3.8114327560343766e-05,1.0078690453597173e-05,3.267383270032363e-05,5.8631121756183066e-05,0.0003081439612539294,5.563882528457453e-05,1.3363851936770786e-05,0.0,1.470297701881883e-05,4.023635548410589e-05,0.00018576409526278623,7.032607576137771e-05,5.378809576395932e-06,0.00012389371232239484,6.24985990630163e-06
b4413,0.0,0.0,0.0,4.854931358035259e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.060220912200586e-07,1.0100133832496589e-07,3.087970485492135e-07,0.0,7.169941506062487e-07,9.176237621454913e-07,7.501675232621422e-07,0.0,0.0,0.0,0.0,0.0,2.5133717461787394e-06,3.283342818346254e-06,0.0,3.5214446382642227e-07,0.0,0.0,0.0,0.0,0.0,2.044362667481915e-06,0.0,0.0,0.0
