"","wt_t00","wt_t00","wt_t00","wt_t10","wt_t10","wt_t10","wt_t10_riff","wt_t10_riff","wt_t10_riff","wt_t30","wt_t30","wt_t30","wt_t30_riff","wt_t30_riff","wt_t30_riff","wt_t60","wt_t60","wt_t60","wt_t60_riff","wt_t60_riff","wt_t60_riff","ppk_delta_t00","ppk_delta_t00","ppk_delta_t00","ppk_delta_t10","ppk_delta_t10","ppk_delta_t10","ppk_delta_t10_riff","ppk_delta_t10_riff","ppk_delta_t10_riff","ppk_delta_t30","ppk_delta_t30","ppk_delta_t30","ppk_delta_t30_riff","ppk_delta_t30_riff","ppk_delta_t30_riff","ppk_delta_t60","ppk_delta_t60","ppk_delta_t60","ppk_delta_t60_riff","ppk_delta_t60_riff","ppk_delta_t60_riff"
"b0011",5.95480834346677e-06,6.70210188225954e-06,4.93351376145241e-06,6.48830456938849e-06,4.16636503919768e-06,3.71120465703167e-06,3.66043465465263e-06,2.21150869122916e-06,6.75018672704034e-06,8.60075592043785e-07,3.32287734595141e-06,4.6135846076054e-06,2.49101557747011e-06,3.15570472521701e-06,5.69173167314144e-06,6.42243871638731e-06,1.4211701773123e-06,4.40170320761545e-06,5.7882199470659e-06,9.6926696762406e-07,2.72853316785429e-06,6.2985535658034e-06,8.97178075891961e-06,5.52291919416927e-06,1.10944455431971e-05,0,7.26410091704085e-06,2.78268133342909e-06,4.37224730596695e-06,3.25843494762718e-06,7.29647950370723e-06,1.67048093146017e-05,8.21770950060286e-06,3.43419653347114e-06,9.68480792604681e-06,0,1.04780260385111e-05,6.12573687509827e-06,5.45832410345889e-06,3.6664256602866e-07,0,7.48872011532629e-07
"b0012",3.0800732811035e-06,2.31995834385907e-06,3.11590342828573e-06,2.51160176879555e-06,2.60397814949855e-06,2.12068837544667e-06,7.32086930930526e-07,7.37169563743052e-07,3.20633869534416e-06,4.30037796021892e-07,3.32287734595141e-06,1.84543384304216e-06,1.34131608017621e-06,2.25407480372644e-06,2.06972060841507e-06,3.01051814830655e-06,0,2.51525897578026e-06,2.64604340437298e-06,9.6926696762406e-07,2.33874271530368e-06,4.41716743575823e-06,4.31974629133166e-06,3.51458494174408e-06,7.35856081946745e-06,0,4.23739220160717e-06,1.59010361910234e-06,1.45741576865565e-06,1.95506096857631e-06,3.44173561495624e-06,8.35240465730084e-06,4.85141886180169e-06,3.81577392607905e-07,9.68480792604681e-06,0,6.16354472853592e-06,0,3.52516765015054e-06,3.6664256602866e-07,0,7.48872011532629e-07
"b0013",6.16014656220701e-07,7.73319447953023e-07,9.08805166583338e-07,1.15115081069796e-06,1.04159125979942e-06,2.65086046930834e-06,7.32086930930526e-07,0,3.37509336352017e-07,0,1.32915093838056e-06,9.2271692152108e-07,7.66466331529263e-07,4.50814960745287e-07,5.17430152103767e-07,1.40490846920972e-06,7.10585088656149e-07,6.28814743945064e-07,3.30755425546623e-07,0,0,1.47238914525274e-06,2.32601723379397e-06,1.67361187702099e-06,1.24529490790988e-06,0,2.33488958047742e-06,1.59010361910234e-06,0,0,1.51436367058075e-06,0,1.28711112660045e-06,0,0,0,3.08177236426796e-06,2.04191229169942e-06,2.04687153879709e-06,1.46657026411464e-06,0,2.4962400384421e-07
"b0014",0.00229557861640644,0.00232073166330702,0.00189914313954015,0.00230512717338581,0.00173112467378664,0.00172959809420805,0.00143672060195116,0.0020633376089168,0.0010832362150218,0.000374562920335068,0.00306768036578234,0.00171902162479377,0.000986633785261044,0.00136506770113673,0.000781836959828793,0.00234619714358024,0.00295532338372092,0.00192433032015788,0.00062826993082581,0.000823392288996639,0.00034340538869709,0.0047957350448821,0.00498698094925428,0.00331509040600318,0.00431347514374382,0.00196768168217081,0.00440360174878041,0.00247380370541846,0.00222838871027449,0.00167548725006989,0.00486744017609571,0.00329919983963383,0.00417796271694506,0.000850281623194614,0.000474555588376294,0.000454151131706548,0.00354650363679957,0.00332219129859496,0.00392589961141281,0.000393407473348752,0.000245203578776135,0.000340487141243502
"unknown",1.38603297649658e-05,1.44352963617898e-05,1.19442964750953e-05,1.36045095809759e-05,5.72875192889681e-06,1.00732697833717e-05,1.09813039639579e-05,3.09611216772082e-05,1.02940347587365e-05,1.29011338806568e-06,1.46206603221862e-05,9.2271692152108e-06,4.02394824052863e-06,1.93850433120474e-05,4.65687136893391e-06,1.02357617042423e-05,1.9185797393716e-05,8.8034064152309e-06,4.96133138319934e-06,6.30023528955639e-06,4.28769497805675e-06,1.72596727582405e-05,4.05391575032664e-05,8.36805938510495e-06,1.84530063626645e-05,7.88123504207266e-06,9.85842267312687e-06,9.01058717491325e-06,2.9148315373113e-06,3.58427844238989e-06,1.55566449796022e-05,0,1.04949061092037e-05,1.14473217782371e-06,0,0,2.77359512784116e-05,0,1.250865940376e-05,1.8332128301433e-06,5.98057509210086e-06,4.99248007688419e-07
"b0015",0.000226282717051737,0.00022838701029546,0.000176178373007656,0.000211183848726225,0.000170300170977205,0.000163293004909394,0.000202788079867756,0.000286021790732304,0.000137028790558919,2.83824945374449e-05,0.00028310914987506,0.000168857196638358,0.000151760333642794,0.000207374881942832,0.000127287817417527,0.00021756011151762,0.000266469408246056,0.000196504607482833,0.000119071953196784,0.000144905411659797,6.353584376575e-05,0.000364334514053096,0.00039409377703995,0.000270455679326592,0.000344154229095093,0.000136608074062593,0.000333456823048923,0.000199292986927493,0.000215697533761036,0.000150865538075138,0.000339492801059284,0.000350800995606635,0.000332371696307516,5.07497932168513e-05,6.77936554823276e-05,3.53530821088929e-05,0.000228051154955829,0.000336915528130405,0.0003046427140243,3.73975417349233e-05,4.78446007368068e-05,3.76932245804757e-05
"b0016",2.70019757643407e-05,3.42838288592507e-05,2.42780808787263e-05,2.42788170983569e-05,2.76021683846847e-05,2.31508480986261e-05,2.30607383243116e-05,4.64416825158123e-05,2.90258029262734e-05,4.30037796021892e-06,2.19309904832793e-05,2.21452061165059e-05,2.01197412026432e-05,2.70488976447172e-05,2.06972060841507e-05,2.50876512358879e-05,3.26869140781828e-05,2.26373307820223e-05,2.43105237776768e-05,2.42316741906015e-05,1.55916181020245e-05,4.85888417933405e-05,5.48275490822865e-05,3.8827795546887e-05,4.96985876884032e-05,2.88978618209331e-05,4.14226707055068e-05,3.84275041283065e-05,4.08076415223582e-05,3.68203149081871e-05,3.73084140661257e-05,5.0114427943805e-05,4.20786329850147e-05,1.42455559906951e-05,9.68480792604681e-06,0,4.43775220454586e-05,3.47125089588902e-05,3.76396932967686e-05,8.79942158468783e-06,1.79417252763026e-05,9.73533614992418e-06
"b4412",6.77616121842771e-06,6.70210188225954e-06,4.15453790438097e-06,5.54645390609016e-06,2.60397814949855e-06,6.36206512634001e-06,4.39252158558316e-06,1.4743391274861e-06,2.19381068628811e-06,2.15018898010946e-06,3.32287734595141e-06,5.53630152912648e-06,3.06586532611705e-06,1.35244488223586e-06,2.58715076051884e-06,7.02454234604862e-06,4.26351053193689e-06,6.91696218339571e-06,2.97679882991961e-06,2.42316741906015e-06,1.55916181020245e-06,9.07973306239192e-06,6.31347534886936e-06,1.10458383883385e-05,8.15102121541009e-06,2.62707834735755e-06,1.09826287674308e-05,9.67313034953923e-06,2.9148315373113e-06,3.58427844238989e-06,1.101355396786e-05,5.0114427943805e-05,1.00988719164035e-05,4.19735131868695e-06,0,2.71946785453023e-06,8.01260814709669e-06,1.83772106252948e-05,1.21675141472938e-05,2.56649796220062e-06,0,2.99548804613052e-06
"b0018",1.00615727182714e-05,1.05686991220247e-05,7.1406120231548e-06,9.73245685408274e-06,7.81193444849566e-06,1.09568899398078e-05,6.95482584384e-06,5.89735650994442e-06,4.55637604075223e-06,2.58022677613135e-06,8.63948109947366e-06,8.30445229368972e-06,4.7904145720579e-06,1.80325984298115e-06,8.79631258576405e-06,1.08378653339036e-05,6.39526579790534e-06,1.2419091192915e-05,4.63057595765272e-06,3.39243438668421e-06,4.67748543060736e-06,1.75868703460744e-05,1.42883915790201e-05,1.50625068931889e-05,1.78869632227055e-05,2.62707834735755e-06,1.66901366308201e-05,1.45759498417714e-05,2.9148315373113e-06,8.47193086383066e-06,1.72086780747812e-05,5.0114427943805e-05,1.56433506156054e-05,8.14031770896863e-06,0,5.43893570906045e-06,1.17107349842182e-05,2.24610352086936e-05,1.9558994704061e-05,4.03306822631526e-06,2.99028754605043e-05,3.99398406150735e-06
"b4413",0,0,0,1.04650073699814e-07,0,0,0,0,0,0,0,0,0,0,0,0,0,4.71611057958798e-07,1.65377712773311e-07,4.8463348381203e-07,0,2.45398190875457e-07,3.32288176256282e-07,1.67361187702099e-07,0,0,0,0,0,6.51686989525435e-07,9.63685972187748e-07,0,9.90085482000345e-08,0,0,0,0,0,5.68575427443635e-07,0,0,0
