gene_name,fit_gene_eff,pval_gene_eff,fit_dppk_eff,pval_dppk_eff,fit_Nminus_eff,pval_Nminus_eff,fit_dppk:Nminus_ff,pval_dppk:Nminus_eff
b0001,0.33827735301030165,1.588577721497127e-120,-0.04497222762142268,0.0017752167372329817,-0.35733368532023346,2.6268595737448206e-77,-0.12507563049077508,0.00013583134601752675
b0002,-0.21636534532717736,0.001188014782210664,0.035879604395615564,0.6984162191804182,-0.30351130078530597,0.27786931304625506,0.5114862246686276,0.12374982721036763
b0006,0.6030890609216013,0.000312011312396586,0.17208497834691733,0.3334739252794384,-0.6142938903057015,0.07842696769909117,0.18634096753893986,0.6680054845930983
b0008,-1.0202853002307384,nan,0.22851682631937661,nan,-0.08285718077750283,nan,0.3227636470083648,nan
b0014,0.2753336775276252,0.000285689680931228,-0.031224837041761155,0.6859119755473599,-0.041304352940975814,0.5950892268014696,-0.06214173912856325,0.5447256322144334
b0015,0.38730462900332724,0.059578219058016794,-0.17961066832553496,0.23802723400046044,-0.4478926602954626,0.13395333253517674,-0.2409324653891825,0.6324922721363577
b0016,1.4373330464875473,3.5004915502605756e-50,-0.10367961210030001,0.44748908679565946,-0.44621030708245657,0.13543747573804732,0.2888008177173724,0.7367927041048654
b0019,-1.8899657223937623,7.069048696084015e-78,0.37175490838404696,0.00980887189085243,-0.010687097263021183,0.9437221252375477,0.021259745170723234,0.9206231497157173
b0020,-0.21583097118829717,0.1001935506878911,0.3444335285793318,0.050794488665204536,0.46699482838149337,0.0651114501776015,-1.1210046584129654,0.00032626505853300554
b0023,0.07086735901223765,0.00037534548158172113,-0.15187766828040747,1.543748721081267e-08,0.09079362106310722,0.4953981404978981,-0.39423453532240404,0.02794471916023569
b0025,0.34120984589155057,0.06269329233941405,0.0073744147755308315,0.9582550532894882,-0.05362237469270423,0.851847317715786,-0.0713161178411066,0.8230771591314562
b0026,0.5433953027841445,1.7672534920240182e-07,0.043136401007482665,0.6779816942834034,-0.5822827846574594,0.05502115958219342,0.027857655177177566,0.9420026831710536
b0029,-0.36467978894399494,3.380002298509506e-05,0.22835796120643337,0.06971027916092735,-0.025277556012532006,0.8972252461474076,-0.7291885198735418,0.002171198656435778
